Company Numebr,CurrentRatio,QuickRatio,CashRatio,WorkingCapital,InterestCoverageRatio,CurrentLiabilityCoverage,CurrentLiabilityCoverage,AssetLiabilityRatio,LiabilityToTangibleAsset,LiabilityToTangibleAsset,LiabilityToTangibleAsset,LiabilityToTangibleAsset,LiabilityToTangibleAsset,ROA,NetProfitToCurrentAssetA,NetProfitToFixedAssetA,ROEA,EBIT,EBTAT,EBITToAsset,ReturnOnInvestedCapital,ReturnOnLongTermInvested,OperatingMarginRatio,OperatingCostRatio,OperatingProfiToRevenue,OperatingNetProfiToRevenue,GrossCostRatio,ManagementExpenseRate,FinancialExpenseRate,PeriodExpenseRate,ProfitToCost,ImpairmentLossToRevenue,EBITDAToRevenue,EBITToRevenue,ROEParentA,OperatingIncomeCashRatioA,OperatingIncomeCashRatioB,EquityAppreciationRatioA,EquityGrowthRatioA,FixedAssetsGrowthA,AssetsGrowthA,ReceivablesToIncome,ReceivableTurnoverA,InventoryTurnoverA,CurrentAssetToIncome,CurrentAssetTurnoverA,FixedAssetToIncome,FixedAssetTurnoverA,NoncurrentAssetTurnoverA,CapitalIntensity,AssetTurnoverA,EequityTurnoverA,labels
0,1.401623,1.122837,0.051392,87833819,5.563798,0.162315,3.357679,0.396273,0.431226,1.656379,0.656379,0.022626,0.091026,0.087942,0.129632,0.207774,0.115055,58821193.7,48443082.6,0.102823,0.109043,0.171793,0.254546,0.745454,0.231501,0.204971,1.273211,0.298863,0.054534,0.470192,0.204733,0.037752,0.333103,0.303416,0.115593,1.434653,0.183108,1.123351,0.123351,2.245465,-0.212894,0.306214,3.265692,0.314499,17.248704,1.581172,0.632442,0.986509,1.013675,0.730101,2.950845,0.338886,0
1,1.209599,0.390542,0.027673,19247637.22,-5.307185,0.014634,0.825602,0.624027,0.643451,2.659766,1.659766,0,0,-0.058702,-0.092423,-0.365001,-0.185554,-8638508.51,-8638508.51,-0.058702,-0.10124,-0.142878,0.168317,0.831683,-0.280859,-0.265577,1.280868,0.150617,0.042107,0.308972,-0.232828,0.140213,-0.136238,-0.22347,-0.185554,0.503574,0.034764,0.843488,-0.156512,-0.058352,0.20365,0.764877,1.3074,1.945725,15.211875,2.873484,0.34801,0.727606,1.374371,1.071411,3.806832,0.262686,0
2,2.239839,1.984604,0.886487,490711724.4,1452.044565,0.46443,1057.087381,0.339385,0.343801,1.513741,0.513741,0.067597,0.13252,0.159345,0.243863,1.556868,0.241013,252493822.2,216332800.8,0.185959,0.224712,0.285938,0.640556,0.359444,0.293598,0.25218,0.761645,0.109386,0.000203,0.379678,0.39822,0.007148,0.321034,0.294536,0.265737,1.087901,0.214422,1.197411,0.197411,0.073773,0.170095,0.436108,2.293007,0.117839,2.443313,1.034107,0.967018,0.161979,6.173639,1.818935,1.583879,0.631361,0
3,2.796654,1.898473,0.572125,123860604,19.670165,-0.336316,-30.716555,0.27398,0.302086,1.377372,0.377372,0,0,0.058905,0.072962,0.938461,0.077003,14847452.69,14820575.64,0.059007,0.072648,0.088188,0.343831,0.656169,0.083729,0.084176,1.194545,0.314741,0.004517,0.340901,0.084576,0.006988,0.118643,0.088845,0.077003,1.052476,-0.138739,1.185945,0.185945,-0.309024,0.122236,0.455236,2.196665,0.370522,4.236998,1.153691,0.866784,0.089695,11.148832,2.841009,1.505678,0.664153,0
4,1.444933,1.213028,0.325588,86280649.69,18.882751,0.188106,24.867592,0.497929,0.507897,1.991749,0.991749,0,0,0.057185,0.074247,0.325969,0.106396,27698309.31,21967216.18,0.071122,0.080367,0.149616,0.332877,0.667123,0.117891,0.093707,0.898576,0.128892,0.006607,0.199126,0.136398,0.024826,0.185384,0.124762,0.105528,1.092116,0.164305,1.119064,0.119064,2.706305,0.180587,0.541682,1.846102,0.202562,3.516284,1.262107,0.792326,0.287473,3.478584,2.0321,1.754208,0.570058,0
5,0.986489,0.924579,0.084595,-182100.46,-59.573772,0.120116,126.909998,0.495596,0.527402,1.982539,0.982539,0,0,-0.031148,-0.064669,-1.141405,-0.062682,-759968.91,-845661.0888,-0.027944,-0.061752,-0.055685,0.393793,0.606207,-0.042382,-0.047283,1.042382,0.376062,0.000701,0.392974,-0.042527,0.040183,-0.021064,-0.04179,-0.073264,1.191047,0.089026,1.010322,0.010322,0.077375,0.284038,0.447222,2.236025,0.045886,15.949336,0.731151,1.367706,0.041425,24.139813,1.308302,1.495501,0.668672,1
6,4.18443285,3.540512051,1.152923659,48384488.05,-45.23125083,-0.107378497,-118.1836728,0.406456821,0.432192427,2.194531569,1.194518803,0.050695698,0.147190751,0.028917761,0.017878395,3.559029345,-0.074411655,12902613.71,10582609.3,0.038564422,-0.020100777,0.075066222,0.308878136,0.691468656,-0.240984208,-0.259684987,1.395153327,0.541562741,0.018993357,0.665643977,0.06469504,0.037133152,-0.111924352,-0.221803161,-0.06179446,1.070525289,-0.195930102,1.21963685,0.21963685,1.008515139,0.20129773,0.403035988,88.751197,0.322958746,46.106121,1.686880187,1.36705077,0.452008624,92.83275229,18.73326772,3.418450458,0.917678291,1
7,2.414574,2.147319,0.666592,155068850.7,-596.264411,0.41152,-496.14136,0.14563,0.162997,1.170452,0.170452,0.044088,0.262238,0.046744,0.18259,0.115656,0.054815,54215508.55,48249125.63,0.052535,0.051851,0.060327,0.715939,0.284061,0.166832,0.148275,0.858947,0.18651,-0.000279,0.553885,0.198832,0.004139,0.252172,0.166332,0.054936,0.863446,0.138402,1.045269,0.045269,0.33632,0.070814,0.272503,3.669683,0.089883,4.460566,0.812065,1.231429,1.282035,0.78001,0.424804,3.166092,0.315847,0
8,5.129236,4.865968,0.76641,127219875.5,112.061205,0.366363,49.890015,0.188857,0.188987,1.232828,0.232828,0.003355,0.003553,0.130072,0.134815,3.720626,0.158672,25353555.24,21496516.78,0.153165,0.13916,0.203003,0.402342,0.597658,0.154043,0.130847,0.855186,0.219108,0.00139,0.23242,0.185916,0.013181,0.162116,0.155714,0.158672,0.832817,0.069324,1.177134,0.177134,0.002223,0.024862,0.63934,1.564114,0.049816,6.895487,0.970569,1.030324,0.035168,28.43494,21.706288,1.016639,0.983634,0
9,1.036695,0.673245,0.315468,1204601.23,5.96356,0.338939,26.395126,0.423336,0.464726,1.734113,0.734113,0.07539,3.404989,0.028818,0.061481,0.078819,0.041593,2513852.38,2513852.38,0.028818,0.046205,0.048192,0.951143,0.048857,0.189261,0.158411,0.839166,0.713522,0.031915,0.777211,0.191765,0.000391,0.456311,0.190326,0.075834,1.203302,0.842394,1.043398,0.043398,0.006053,0.112567,0.396986,2.518983,0.903313,1.275415,2.576587,0.38811,2.009805,0.497561,0.248267,6.604504,0.151412,0
