Company Number,Report Texts
0,股权解除质押公告(1)                                                                        
1,2017年第二次临时股东大会决议公告                                                                        
2,2017年第四次临时股东大会决议公告                                                                        
3,第六届董事会第九次会议决议公告                                                                        
4,第四届董事会第五次会议决议公告                                                                        
5,2017年半年度募集资金存放与使用情况的专项报告                                                                        
6,权益变动报告书                                                                        
7,第四届董事会第十次会议决议公告                                                                        
8,第四届董事会第四次会议决议公告                                                                        
9,第四届董事会第八次会议决议公告                                                                        
10,2016年年度股东大会通知公告                                                                        
11,公司章程                                                                        
15,2016年年度股东大会的法律意见书                                                                        
16,董事变动公告                                                                        
17,第四届董事会第四次会议决议公告                                                                        
18,关于召开2017年第五次临时股东大会通知公告                                                                        
20,2017年度第五次临时股东大会决议公告                                                                        
21,东吴证券股份有限公司关于退出为北京中机联供非晶科技股份有限公司股票提供做市报价服务的公告
22,关于预计2018年度日常性关联交易的公告                                                                        
24,2018年第一次临时股东大会的通知公告                                                                        
25,关于重组人肝细胞生长因子裸质粒注射液获得药物临床试验批件的公告                                                                        
26,防范控股股东及关联方资金占用管理制度                                                                        
27,第四届董事会第四次会议决议公告                                                                        
28,第四届董事会第九次会议决议公告                                                                        
29,董事变动公告                                                                        
30,第四届监事会第六次会议决议公告                                                                        
31,国泰君安证券股份有限公司关于后续加入为中电达通数据技术股份有限公司股票提供做市报价服务的公告                                                                        
32,第三届董事会第十七次会议决议公告                                                                        
33,中国证监会行政许可申请受理通知书                                                                        
34,2017年第二次临时股东大会决议公告                                                                        
35,2016年年度股东大会通知公告                                                                        
36,关于公司减少全资子公司注册资本并转让全资子公司股权的公告                                                                        
38,2017年第八次临时股东大会决议公告                                                                        
39,董事、监事变动公告                                                                        
40,股份交易异常波动公告                                                                        
41,第三届董事会第十二次会议决议公告                                                                        
42,2017年第七次临时股东大会决议公告                                                                        
43,2017年第七次临时股东大会决议公告                                                                        
44,第三届监事会第四次会议决议公告                                                                        
45,第三届董事会第二十三次会议决议公告                                                                        
46,第三届监事会第三次会议决议公告                                                                        
47,财通证券股份有限公司关于后续加入为北京中讯四方科技股份有限公司股票提供做市报价服务的公告
48,2017年第四次临时股东大会决议公告                                                                        
49,重大事项停牌公告                                                                        
50,权益变动报告书                                                                        
51,西南证券股份有限公司关于北京安鹏行达汽车投资股份有限公司重大资产重组的风险揭示公告                                                                        
52,对外投资公告                                                                        
53,股票解除限售公告                                                                        
54,关于取得全国公安系统警用装备十佳品牌的公告                                                                        
55,第三届监事会第四次会议决议公告                                                                        
56,关于公司2017年半年度权益分派实施公告                                                                        
57,董事辞职公告                                                                        
58,权益变动报告书(2017/09/29)                                                                        
59,第三届董事会第十一次会议决议公告                                                                        
60,董事变动公告                                                                        
61,召开2017年第七次临时股东大会通知公告                                                                        
62,第四届董事会第十一次会议决议公告                                                                        
63,出售资产的公告(1)                                                                        
64,股票解除限售公告                                                                        
65,股份交易异常波动公告                                                                        
66,关于重大合同的提示性公告                                                                        
67,2017年第六次临时股东大会通知公告                                                                        
68,权益变动报告书                                                                        
69,关联交易公告                                                                        
70,关于全资子公司向全资孙公司增资的公告                                                                        
71,关于取得具有监控中心的声掩蔽系统的发明专利公告                                                                        
72,关于预计2017年度日常性关联交易的公告                                                                        
73,关于延期召开2017年第二次临时股东大会的公告                                                                        
74,第二届董事会第十六次会议公告                                                                        
75,第三届董事会第一次会议决议公告                                                                        
76,股票解除限售公告                                                                        
77,2018年第一次临时股东大会通知公告                                                                        
78,2018年第一次临时股东大会通知公告                                                                        
79,2017年第四次临时股东大会决议公告                                                                        
80,第三届监事会第一次会议决议公告                                                                        
81,第二届董事会第十六次会议决议公告                                                                        
82,关于董事、监事及高管人员换届选举公告                                                                        
83,2017年第二次临时股东大会决议公告                                                                        
84,第三届监事会第一次会议决议公告                                                                        
85,董事变动公告                                                                        
86,第二届董事会第十四次临时会议决议公告                                                                        
87,关于通过CMMI3级评估认证的公告                                                                        
88,第三届监事会第一次会议决议公告                                                                        
89,关于补充预计2017年度日常性关联交易的公告                                                                        
90,东吴证券股份有限公司关于退出为卡联科技集团股份有限公司股票提供做市报价服务的公告
91,会计师事务所变更公告                                                                        
93,2017年第五次临时股东大会决议公告                                                                        
94,关联交易公告                                                                        
95,2017年第五次临时股东大会决议公告                                                                        
97,2017年第一次临时股东大会决议公告                                                                        
98,第二届董事会第十二次会议决议公告                                                                        
99,2018年第一次临时股东大会通知公告                                                                        
100,关于完成注销控股子公司的公告                                                                        
101,对外投资的公告                                                                        
102,关于股票转让方式由做市转让变更为协议转让的提示性公告                                                                        
103,股权质押公告                                                                        
104,国泰君安证券股份有限公司关于后续加入为北京思创银联科技股份有限公司股票提供做市报价服务的公告                                                                        
105,2017年第一次临时股东大会通知公告                                                                        
106,关于申请贷款担保的偶发性关联交易公告                                                                        
107,关于子公司工商营业执照变更的公告                                                                        
108,2017年第三次临时股东大会决议公告                                                                        
110,关于关联方资金占用进展情况的公告                                                                        
111,关于第一大股东变更提示性公告                                                                        
113,2016年年度股东大会决议公告                                                                        
114,关于对外投资全资子公司完成工商登记的公告                                                                        
115,第三届监事会第九次会议决议公告(更正后)                                                                        
116,关于变更2017年年度审计机构的公告                                                                        
117,关于公司董监高拟增持股份的公告                                                                        
118,第二届董事会第十五次会议决议公告                                                                        
119,股票解除限售公告                                                                        
120,2017年第二次临时股东大会通知公告                                                                        
121,权益变动报告书                                                                        
122,子公司对外投资公告(设立全资子公司)                                                                        
123,2017年第四次临时股东大会通知公告                                                                        
125,广州证券股份有限公司关于退出为点点客信息技术股份有限公司股票提供做市报价服务的公告
126,因重大事项停牌的进展情况说明                                                                        
127,变更持续督导主办券商公告                                                                        
128,2018年第一次临时股东大会通知公告                                                                        
129,第二届董事会第十五次会议决议公告                                                                        
130,高管辞职公告[2017-065]                                                                        
131,2018年第一次临时股东大会通知                                                                        
132,关于召开2017年第三次临时股东大会通知公告                                                                        
133,2018年第一次临时股东大会通知公告                                                                        
134,2017年第六次临时股东大会决议公告                                                                        
135,股票解除限售公告                                                                        
136,2017年第三次临时股东大会决议公告                                                                        
137,权益变动公告                                                                        
138,第二届董事会第六次会议决议公告                                                                        
139,第二届董事会第十六次会议决议公告                                                                        
140,关于公司股票停牌的进展公告                                                                        
141,第三届监事会第四次会议决议公告                                                                        
142,第三届董事会第三次会议决议的公告                                                                        
143,第二届董事会第十三次会议决议公告                                                                        
144,董事变动公告(任免情况)                                                                        
145,2017年第一次临时股东大会决议公告                                                                        
146,2017年第五次临时股东大会决议公告                                                                        
147,2017年第四次临时股东大会决议公告                                                                        
148,出售资产的公告                                                                        
149,关于公司股票延期复牌的公告                                                                        
150,关于办公地址变更的公告                                                                        
151,2017年第四次临时股东大会决议公告                                                                        
152,关于对外投资设立控股子公司的公告                                                                        
153,关于对外投资设立全资子公司的公告                                                                        
155,2017年第五次临时股东大会决议公告                                                                        
156,章程修正案                                                                        
157,董事变动公告                                                                        
158,股票发行认购公告                                                                        
159,关于筹划重大事项暂停转让的进展公告                                                                        
160,关于公司股票停牌进展的公告                                                                        
161,2016年年度权益分派实施公告                                                                        
162,权益变动报告书                                                                        
165,关于核销应收款项坏账的公告                                                                        
166,对外投资公告                                                                        
167,2017年第五次临时股东大会决议公告                                                                        
168,2017年第四次临时股东大会决议公告                                                                        
169,关于补充披露对外投资公告(对全资子公司增资)的声明公告                                                                        
170,股票发行认购公告                                                                        
171,2017年第五次临时股东大会决议公告                                                                        
172,涉及诉讼公告                                                                        
173,股票发行认购延期公告                                                                        
174,第二届董事会第十四次会议决议公告                                                                        
175,关于董事会决议索引事项的说明                                                                        
176,2017年第一次股票发行方案                                                                        
177,第二届董事会第十三次会议决议公告                                                                        
178,股票解除限售公告                                                                        
179,股权质押公告                                                                        
180,第六届董事会第十八次会议决议公告                                                                        
181,关联交易公告                                                                        
182,董事任命公告                                                                        
183,股票解除限售公告                                                                        
184,关于出售全资子公司全部股权的公告                                                                        
185,第三届董事会第八次会议决议公告                                                                        
186,第三届董事会第四次会议决议公告                                                                        
187,拟对外投资设立海外子公司的公告                                                                        
188,高级管理人员变动公告                                                                        
189,董事变动公告(任免情况)                                                                        
190,2018年第一次临时股东大会通知公告                                                                        
192,关于更新股票发行认购公告的说明                                                                        
193,权益变动公告[2017-029]                                                                        
194,高级管理人员变动公告                                                                        
195,高级管理人员任免公告                                                                        
196,关于股票转让方式由做市转让变更为协议转让方式的提示性公告                                                                        
197,东方花旗证券有限公司关于上海永天科技股份有限公司募集资金存放与实际使用情况的核查报告                                                                        
198,2017年第二次临时股东大会通知公告                                                                        
200,北京大悦律师事务所关于北京圣商教育科技股份有限公司股票发行合法合规性之法律意见书                                                                        
201,停牌进展公告(2017/12/28)                                                                        
204,项目中标的提示性公告                                                                        
205,会计师事务所变更公告                                                                        
206,第二届监事会第五次会议决议公告                                                                        
207,2017年第三次临时股东大会决议公告                                                                        
208,2017年第一次临时股东大会决议公告                                                                        
209,2016年年度股东大会法律意见书                                                                        
210,华融证券股份有限公司关于退出为北京华索科技股份有限公司股票提供做市报价服务的公告
211,控股股东、实际控制人及其关联方资金占用情况汇总表的专项审核报告                                                                        
212,股权质押公告(补发)(1)                                                                        
214,2017年第二次临时股东大会决议公告                                                                        
215,第二届董事会第八次会议决议公告                                                                        
216,关于新产品发布的公告(1)                                                                        
217,第二届董事会第九次会议决议公告                                                                        
218,关于公司名称及证券简称变更公告                                                                        
219,募集资金存放与实际使用情况的专项报告                                                                        
220,怡兴智汇(北京)科技有限公司审计报告(更正后)                                                                        
221,关于增加2017年第四次临时股东大会临时提案的公告                                                                        
224,权益分派实施公告                                                                        
226,2018年第一次临时股东大会通知公告                                                                        
227,重大合同公告                                                                        
229,关于无偿受让尹博实持有的北京忠实仆人科技服务有限公司百分之十股权的公告                                                                        
230,重大事项停牌进展公告                                                                        
231,2017年第三次临时股东大会决议公告                                                                        
232,关于向中国民生银行股份有限公司北京分行申请综合授信的公告                                                                        
233,长江证券股份有限公司关于与武汉希文科技股份有限公司签署持续督导协议的公告                                                                        
234,2016年度控股股东、实际控制人及其关联方资金占用情况汇总表专项审核报告                                                                        
235,2017年第一次临时股东大会决议公告                                                                        
236,会计师事务所变更公告                                                                        
238,关于使用闲置自有资金购买保本理财产品的进展公告                                                                        
239,国泰君安证券股份有限公司关于后续加入为上海科洋科技股份有限公司股票提供做市报价服务的公告                                                                        
241,第二届董事会第十二次会议决议公告                                                                        
242,北京芝兰律师事务所关于北京朗威视讯科技股份有限公司2016年年度股东大会的法律意见书                                                                        
243,2017年第二次临时股东大会决议公告                                                                        
245,关于筹划重大事项股票延期恢复转让公告                                                                        
246,第三届董事会第一次会议决议公告                                                                        
247,德恒上海律师事务所关于上海鼎晖科技股份有限公司2016年年度股东大会的见证法律意见                                                                        
248,监事辞职公告                                                                        
249,2017年第六次临时股东大会决议公告                                                                        
250,关于股票发行新增股份挂牌并公开转让的公告                                                                        
251,第二届监事会第六次会议决议公告                                                                        
254,2017年第二次临时股东大会决议公告                                                                        
255,2017年第三次临时股东大会决议公告                                                                        
256,董事会秘书辞职公告                                                                        
257,第二届董事会第九次会议决议公告                                                                        
258,首创证券有限责任公司关于东电创新(北京)科技发展股份有限公司不符合创新层公司治理要求的风险提示公告                                                                        
260,关于变更公司名称及证券简称的公告                                                                        
261,北京金天地影视文化股份有限公司2017第三次临时股东大会决议公告[2017-031]                                                                        
262,股权质押公告                                                                        
264,关于再次获得高新技术企业证书的公告                                                                        
265,出售资产公告                                                                        
266,关于重大事项停牌进展公告                                                                        
267,国泰君安证券股份有限公司关于后续加入为北京英富森软件股份有限公司股票提供做市报价服务的公告                                                                        
268,关于与人教数字出版有限公司签订人教数字产品深度合作协议和产品代理协议的公告                                                                        
269,股票解除限售公告                                                                        
270,关于拟认定核心员工进行公示并征求意见的公告                                                                        
271,2017年第四次临时股东大会之法律意见书                                                                        
272,关于补发股权质押公告的声明公告                                                                        
273,高级管理人员变动公告                                                                        
275,第二届董事会第十八次会议决议公告                                                                        
276,第二届董事会第二十次会议决议公告                                                                        
278,募集资金管理制度                                                                        
279,股份交易异常波动公告(2017/12/25)                                                                        
280,高级管理人员变动公告                                                                        
281,关于获得政府补助的公告                                                                        
282,第二届董事会第十九次会议决议公告                                                                        
283,关于2017年度履行银行专项暨资产抵押贷款的公告                                                                        
284,2017年第八次临时股东大会决议公告                                                                        
285,关于公司董事兼高管收到中国证监会调查通知书的公告                                                                        
286,第三届董事会第十二次会议决议公告                                                                        
287,股票解除限售公告                                                                        
288,第三届董事会第一次会议决议公告                                                                        
289,追认偶发性关联交易公告                                                                        
290,2017年度第三次临时股东大会决议公告                                                                        
291,关于签订重大合同的公告                                                                        
292,第二届董事会第十八次会议决议公告                                                                        
294,购买资产的公告                                                                        
295,高级管理人员辞职公告                                                                        
296,第三届监事会第五次会议决议公告                                                                        
297,股票解除限售公告                                                                        
298,中信证券股份有限公司关于与天津晓沃环保工程股份公司解除持续督导协议公告
299,第二届董事会第七次会议决议公告                                                                        
300,第四届董事会第一次会议决议公告                                                                        
301,第二届董事会第十一次会议决议公告                                                                        
302,对外投资公告                                                                        
303,权益变动报告书                                                                        
304,东方花旗证券有限公司关于上海华之邦科技股份有限公司会计估计变更的提示性公告                                                                        
305,关于终止股票发行的公告                                                                        
306,权益变动公告                                                                        
307,权益变动报告书                                                                        
308,2017年半年度募集资金存放与实际使用情况的专项报告                                                                        
309,董秘变动公告(辞职)                                                                        
311,关于公司现金分红预案的公告                                                                        
312,股票解除限售公告                                                                        
313,股权质押公告                                                                        
314,关于全资子公司变更经营范围、修改公司章程并完成工商登记的公告                                                                        
316,董事任职公告                                                                        
317,股票发行情况报告书                                                                        
318,关于收到苏州工业园区环保局处罚决定书的公告                                                                        
319,第二届董事会第九次会议决议公告                                                                        
320,高级管理人员变动公告(2017/7/18)                                                                        
322,第二届董事会第七次会议决议公告                                                                        
323,关于全资子公司对外投资的公告(设立参股公司)                                                                        
324,2017年第三次临时股东大会通知公告                                                                        
325,2017年第四次临时股东大会决议公告                                                                        
326,关于重大资产重组事项暂停转让公告                                                                        
327,对外投资的公告                                                                        
328,关于公司取得深圳市高新技术企业资格的公告                                                                        
330,募集资金存放与实际使用情况专项报告                                                                        
331,2017年第二次临时股东大会决议公告                                                                        
332,2017年第五次临时股东大会决议公告(补发)                                                                        
333,关于股票转让方式由做市转让变更为协议转让的提示性公告                                                                        
334,2017年第三次临时股东大会决议公告                                                                        
335,股票发行认购公告                                                                        
336,关联交易公告                                                                        
337,2017年第二次临时股东大会决议公告                                                                        
338,关于控股股东解除部分股权质押的公告                                                                        
339,对外投资公告                                                                      
340,2017年第一次临时股东大会决议公告                                                                        
341,2016年股东大会法律意见书                                                                        
342,关于补充确认银行贷款的声明公告                                                                        
343,2017年第四次临时股东大会决议公告                                                                        
344,2017年第一次临时股东大会决议公告                                                                        
345,关于应收账款坏账计提比例变更的公告                                                                        
346,关联担保的公告                                                                        
347,股票发行认购公告                                                                        
348,第二届董事会第八次会议决议公告                                                                        
349,济南海能仪器股份有限公司第二届董事会第十七次会议决议公告                                                                        
350,关于被确定为2017年度国家知识产权示范企业的公告                                                                        
351,2016年年度股东大会法律意见书                                                                        
352,关于子公司完成工商登记的公告                                                                        
353,2017年第一次临时股东大会通知公告                                                                        
354,第七届董事会第二次会议决议公告                                                                        
355,2017年半年度权益分派实施公告                                                                        
356,关于公司股东股权解除质押公告                                                                        
357,第三届董事会第三次会议决议公告                                                                        
358,董事会秘书辞职公告                                                                        
359,第二届董事会第十一次会议决议公告                                                                        
360,第三届监事会第三次会议决议公告                                                                        
361,第三届监事会第七次会议决议公告                                                                        
362,2016年年度股东大会决议公告                                                                        
363,2017年第二次临时股东大会决议公告                                                                        
364,关于全资子公司取得食品生产许可证的公告                                                                        
365,2017年度业绩预告                                                                        
366,2017年第三次临时股东大会决议                                                                        
367,2017年第四次临时股东大会决议公告                                                                        
368,中山证券有限责任公司关于退出为山东大正医疗器械股份有限公司股票提供做市报价服务的公告                                                                        
369,海通证券股份有限公司关于退出为威海威硬工具股份有限公司股票提供做市报价服务的公告
370,高级管理人员变动公告(辞职情况)                                                                        
371,2017年第三次临时股东大会决议公告                                                                        
372,2017年第六次临时股东大会决议公告                                                                        
373,第二届监事会第八次会议决议公告                                                                        
374,2018年度日常性关联交易预计公告                                                                        
375,关于会计政策变更的公告                                                                        
376,股权质押公告(1)                                                                        
377,2017年第七次临时股东大会决议公告                                                                        
378,董事、监事及高级管理人员变动公告(辞职情况)                                                                        
379,第三届董事会第二次会议决议公告                                                                        
380,权益变动公告(减持)(2017/12/22)                                                                        
381,关于签订财务顾问协议的公告                                                                        
382,出售资产的公告                                                                        
383,第三届董事会第十五次会议决议公告                                                                        
384,2017年第四次临时股东大会决议公告                                                                        
385,关于获得实用新型专利证书的公告                                                                        
386,第二届监事会第七次会议决议公告                                                                        
387,第二届董事会第五次会议决议公告                                                                        
388,第三届监事会第一次会议决议公告                                                                        
389,2018年第一次临时股东大会通知公告                                                                        
390,2017年第二次临时股东大会决议公告                                                                        
391,会计师事务所变更公告                                                                        
392,联讯证券股份有限公司关于申昱环保科技股份有限公司的风险提示公告                                                                        
393,第三届监事会第六次会议决议公告                                                                        
394,2017年第五次临时股东大会决议公告                                                                        
395,关联交易公告                                                                        
396,权益变动公告                                                                        
398,涉及诉讼公告                                                                        
400,2017年第二次临时股东大会决议公告                                                                        
402,第三届监事会第三次会议决议公告                                                                        
403,关于控股子公司变更营业范围的公告                                                                        
404,2016权益分派预案                                                                        
405,关于子公司完成工商变更登记的公告                                                                        
